"date"	"time"	"long"	"lat"	"mag"
"2013-05-07"	"22:04:54.40"	"57.4340"	"28.0440"	"3.1"
"2013-05-09"	"08:01:33.20"	"57.7460"	"26.7300"	"5.1"
"2013-05-09"	"08:50:34.30"	"57.6350"	"26.6740"	"4.3"
"2013-05-10"	"13:47:00.10"	"57.6680"	"26.6340"	"3.9"
"2013-05-10"	"19:52:11.00"	"57.4620"	"28.2870"	"3.4"
"2013-05-11"	"02:08:08.50"	"57.8460"	"26.5980"	"6.0"
"2013-05-11"	"02:25:21.30"	"57.6140"	"26.7460"	"4.0"
"2013-05-11"	"02:29:36.80"	"57.8990"	"26.6590"	"4.9"
"2013-05-11"	"02:32:40.80"	"57.8160"	"26.5990"	"4.8"
"2013-05-11"	"02:45:49.40"	"57.7180"	"26.7700"	"4.2"
"2013-05-11"	"02:50:00.00"	"57.7990"	"26.6740"	"4.9"
"2013-05-11"	"03:03:27.10"	"57.9150"	"26.6550"	"5.1"
"2013-05-11"	"03:09:47.40"	"57.9260"	"26.5480"	"5.5"
"2013-05-11"	"03:17:21.80"	"57.7200"	"26.6440"	"4.8"
"2013-05-11"	"03:41:27.10"	"57.9170"	"26.5250"	"5.2"
"2013-05-11"	"03:58:14.80"	"57.6850"	"26.6690"	"4.6"
"2013-05-11"	"04:09:27.30"	"57.8840"	"26.5220"	"4.8"
"2013-05-11"	"04:51:04.30"	"57.6520"	"26.6350"	"4.2"
"2013-05-11"	"04:53:35.90"	"57.7980"	"26.7110"	"4.4"
"2013-05-11"	"05:21:28.30"	"57.7120"	"26.5950"	"4.3"
"2013-05-11"	"05:34:12.70"	"57.8200"	"26.6200"	"4.6"
"2013-05-11"	"05:45:30.00"	"57.7620"	"26.5710"	"4.2"
"2013-05-11"	"05:59:35.40"	"57.8600"	"26.6150"	"4.3"
"2013-05-11"	"07:58:42.70"	"57.7030"	"26.6280"	"4.2"
"2013-05-11"	"08:38:00.26"	"57.6940"	"26.5800"	"4.2"
"2013-05-11"	"08:42:34.90"	"57.8910"	"26.5500"	"5.2"
"2013-05-11"	"10:03:06.00"	"57.6720"	"26.6970"	"4.8"
"2013-05-11"	"10:25:34.70"	"57.7080"	"26.6880"	"4.6"
"2013-05-11"	"12:35:37.10"	"57.7790"	"26.9820"	"3.5"
"2013-05-11"	"12:55:57.80"	"57.7360"	"26.6310"	"3.9"
"2013-05-11"	"13:20:41.40"	"57.7960"	"26.7090"	"4.1"
"2013-05-11"	"14:23:16.40"	"57.8040"	"26.5360"	"4.6"
"2013-05-11"	"14:28:00.03"	"57.7500"	"26.7000"	"3.9"
"2013-05-11"	"18:06:13.70"	"57.6690"	"26.5940"	"4.8"
"2013-05-11"	"18:13:42.40"	"57.5780"	"26.9000"	"3.4"
"2013-05-11"	"18:16:41.70"	"57.7710"	"26.8520"	"3.2"
"2013-05-11"	"18:24:07.50"	"57.6310"	"26.7630"	"3.3"
"2013-05-11"	"18:54:14.50"	"57.6540"	"26.6760"	"3.5"
"2013-05-11"	"20:05:35.50"	"57.7210"	"26.6630"	"3.7"
"2013-05-11"	"20:10:13.40"	"57.7230"	"26.5880"	"3.3"
"2013-05-11"	"20:28:16.20"	"57.5880"	"26.5090"	"4.1"
"2013-05-11"	"20:49:50.00"	"57.6450"	"26.6720"	"3.5"
"2013-05-11"	"20:52:35.10"	"57.7070"	"26.7010"	"3.5"
"2013-05-11"	"21:00:29.20"	"57.5240"	"26.5490"	"3.8"
"2013-05-11"	"21:19:46.80"	"57.7620"	"26.7410"	"3.4"
"2013-05-11"	"21:28:14.00"	"57.7600"	"26.7790"	"3.5"
"2013-05-11"	"21:49:01.40"	"57.6430"	"26.7420"	"3.5"
"2013-05-11"	"21:51:00.30"	"57.7890"	"26.5390"	"5.1"
"2013-05-11"	"22:14:43.70"	"57.6940"	"26.7110"	"3.3"
"2013-05-11"	"22:23:06.20"	"57.6230"	"26.7030"	"5.0"
"2013-05-11"	"22:25:27.40"	"57.5990"	"26.7680"	"4.6"
"2013-05-11"	"22:28:11.50"	"57.6630"	"26.7640"	"4.8"
"2013-05-11"	"22:43:02.20"	"57.7370"	"26.6180"	"3.6"
"2013-05-11"	"23:10:52.10"	"57.6020"	"26.6440"	"3.7"
"2013-05-11"	"23:27:05.70"	"57.5780"	"26.6480"	"3.9"
"2013-05-12"	"00:07:01.80"	"57.7850"	"26.6220"	"5.7"
"2013-05-12"	"00:24:58.10"	"57.6560"	"26.6700"	"4.4"
"2013-05-12"	"01:00:56.90"	"57.7320"	"26.6560"	"3.5"
"2013-05-12"	"01:06:24.50"	"57.7740"	"26.6890"	"4.6"
"2013-05-12"	"01:18:19.00"	"57.5400"	"26.5320"	"3.6"
"2013-05-12"	"01:35:46.90"	"57.6150"	"26.5920"	"3.7"
"2013-05-12"	"01:54:56.90"	"57.6990"	"26.8870"	"3.3"
"2013-05-12"	"01:57:27.20"	"57.6010"	"26.7600"	"4.2"
"2013-05-12"	"02:05:14.30"	"57.8090"	"26.6250"	"3.8"
"2013-05-12"	"02:23:48.20"	"57.6550"	"26.5430"	"4.0"
"2013-05-12"	"02:50:03.30"	"57.6270"	"26.7410"	"4.5"
"2013-05-12"	"04:23:08.00"	"57.5980"	"26.8760"	"4.6"
"2013-05-12"	"04:48:13.40"	"57.7530"	"26.3520"	"3.3"
"2013-05-12"	"04:53:42.70"	"57.6450"	"26.6630"	"3.9"
"2013-05-12"	"06:13:17.30"	"57.6910"	"26.6910"	"4.2"
"2013-05-12"	"07:01:21.20"	"57.6200"	"26.9490"	"3.7"
"2013-05-12"	"07:06:07.40"	"57.5810"	"26.5830"	"3.5"
"2013-05-12"	"07:33:17.30"	"57.7430"	"26.7910"	"3.3"
"2013-05-12"	"09:02:21.30"	"57.8570"	"26.5550"	"4.7"
"2013-05-12"	"09:39:21.20"	"57.5810"	"26.6260"	"3.9"
"2013-05-12"	"09:52:04.20"	"57.6630"	"26.5100"	"3.8"
"2013-05-12"	"10:54:48.30"	"57.7600"	"26.7050"	"5.5"
"2013-05-12"	"11:00:14.80"	"57.6310"	"26.7210"	"4.7"
"2013-05-12"	"11:29:02.80"	"57.8060"	"26.6320"	"3.9"
"2013-05-12"	"11:56:33.70"	"57.6370"	"26.6890"	"4.4"
"2013-05-12"	"12:02:51.40"	"57.6680"	"26.5970"	"3.5"
"2013-05-12"	"12:24:11.30"	"57.6390"	"26.6330"	"3.4"
"2013-05-12"	"12:48:00.06"	"57.7590"	"26.6770"	"4.5"
"2013-05-12"	"13:18:43.10"	"57.6220"	"26.5840"	"3.7"
"2013-05-12"	"13:38:17.70"	"57.6820"	"26.7550"	"3.6"
"2013-05-12"	"14:47:56.40"	"57.7670"	"26.6340"	"4.1"
"2013-05-12"	"15:01:48.70"	"57.6480"	"26.6390"	"3.8"
"2013-05-12"	"15:31:35.00"	"57.6660"	"26.7270"	"3.6"
"2013-05-12"	"16:03:49.90"	"57.8620"	"26.5790"	"3.2"
"2013-05-12"	"16:12:25.80"	"57.7830"	"26.6690"	"3.3"
"2013-05-12"	"16:15:21.00"	"57.7100"	"26.6580"	"3.2"
"2013-05-12"	"16:20:31.10"	"57.6670"	"26.6700"	"4.0"
"2013-05-12"	"16:37:18.80"	"57.6950"	"26.6240"	"3.9"
"2013-05-12"	"16:44:52.90"	"57.8180"	"26.7810"	"3.4"
"2013-05-12"	"16:51:00.42"	"57.7030"	"26.5440"	"3.2"
"2013-05-12"	"17:31:41.90"	"57.6110"	"26.6300"	"3.7"
"2013-05-12"	"17:50:33.30"	"57.6750"	"26.6040"	"4.2"
"2013-05-12"	"18:02:53.70"	"57.6870"	"26.6420"	"3.7"
"2013-05-12"	"18:12:01.70"	"57.9640"	"26.6700"	"4.4"
"2013-05-12"	"20:18:34.40"	"57.6670"	"26.6590"	"4.4"
"2013-05-12"	"20:52:20.40"	"57.6770"	"26.6120"	"3.6"
"2013-05-12"	"21:14:45.50"	"57.6360"	"26.5570"	"4.2"
"2013-05-12"	"22:15:35.90"	"57.7630"	"26.5660"	"4.4"
"2013-05-12"	"22:28:04.70"	"57.6820"	"26.8150"	"3.4"
"2013-05-12"	"22:30:12.30"	"57.7090"	"26.6420"	"4.2"
"2013-05-12"	"22:34:45.40"	"57.7080"	"26.7470"	"4.2"
"2013-05-12"	"23:04:13.80"	"57.7080"	"26.5900"	"3.7"
"2013-05-13"	"00:23:29.30"	"57.6810"	"26.8590"	"3.4"
"2013-05-13"	"00:59:33.80"	"57.6770"	"26.6320"	"3.8"
"2013-05-13"	"01:19:48.50"	"57.9030"	"26.5400"	"4.3"
"2013-05-13"	"01:42:58.20"	"57.7700"	"26.5280"	"4.4"
"2013-05-13"	"05:44:27.10"	"57.7710"	"26.6370"	"4.4"
"2013-05-13"	"12:35:00.35"	"57.7220"	"26.6590"	"3.9"
